WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,78.03,74,29,15.73,scattered clouds
1,Cap Malheureux,MU,-19.9842,57.6142,70.29,67,68,5.99,broken clouds
2,Garden City,US,42.3256,-83.331,87.15,46,40,10.36,scattered clouds
3,Ponta Do Sol,PT,32.6667,-17.1,75.7,83,31,2.28,scattered clouds
4,Mataura,NZ,-46.1927,168.8643,39.47,94,24,1.92,few clouds
5,Kosh-Agach,RU,50.0,88.6667,49.84,81,100,0.58,overcast clouds
6,Albany,US,42.6001,-73.9662,81.03,62,71,1.88,broken clouds
7,Hobart,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
8,Derbent,RU,42.0678,48.2899,81.75,49,26,4.56,scattered clouds
9,Iwanai,JP,42.9744,140.5089,75.81,85,44,3.89,scattered clouds
10,Kapaa,US,22.0752,-159.319,82.72,76,90,5.01,light rain
11,Norman Wells,CA,65.282,-126.8329,62.64,67,75,12.66,smoke
12,Mar Del Plata,AR,-38.0023,-57.5575,57.09,28,90,1.99,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,73.96,75,21,16.35,few clouds
14,Ushuaia,AR,-54.8,-68.3,49.62,75,75,36.82,broken clouds
15,Hasaki,JP,35.7333,140.8333,77.4,81,35,5.14,scattered clouds
16,Punta Arenas,CL,-53.15,-70.9167,44.71,61,0,26.46,clear sky
17,Puerto Ayora,EC,-0.7393,-90.3518,80.56,85,79,5.99,broken clouds
18,Arkhara,RU,49.4212,130.0842,65.57,96,71,9.57,broken clouds
19,Ilulissat,GL,69.2167,-51.1,46.87,66,100,13.56,overcast clouds
20,Jijiga,ET,9.35,42.8,69.3,54,95,16.51,overcast clouds
21,Tasiilaq,GL,65.6145,-37.6368,41.65,75,23,2.33,few clouds
22,Sobolevo,RU,54.4299,31.8996,59.56,86,99,3.15,overcast clouds
23,Chuy,UY,-33.6971,-53.4616,59.05,85,94,9.15,overcast clouds
24,Sapele,NG,5.8941,5.6767,74.16,94,78,3.0,broken clouds
25,Krasnoyarskiy,RU,51.965,59.8967,75.27,46,85,10.56,overcast clouds
26,Busselton,AU,-33.65,115.3333,50.81,81,0,5.82,clear sky
27,Pryyutivka,UA,48.7209,33.0708,73.18,48,51,10.49,broken clouds
28,Jamestown,US,42.097,-79.2353,80.29,47,75,12.66,broken clouds
29,Saint-Francois,FR,46.4154,3.9054,67.17,77,90,9.22,overcast clouds
30,Kailua,US,21.4022,-157.7394,83.14,62,75,18.41,broken clouds
31,Saskylakh,RU,71.9167,114.0833,49.93,65,11,6.26,few clouds
32,Tuatapere,NZ,-46.1333,167.6833,39.81,87,35,3.47,scattered clouds
33,Nikolskoye,RU,59.7035,30.7861,60.78,85,99,1.52,overcast clouds
34,Barrow,US,71.2906,-156.7887,39.22,83,90,19.57,overcast clouds
35,Bethel,US,41.3712,-73.414,81.95,73,88,4.34,overcast clouds
36,Nanortalik,GL,60.1432,-45.2371,46.98,93,100,4.83,light rain
37,Victoria,HK,22.2855,114.1577,84.16,95,100,3.0,moderate rain
38,Makakilo City,US,21.3469,-158.0858,81.68,68,90,9.22,overcast clouds
39,Iqaluit,CA,63.7506,-68.5145,44.33,81,90,5.01,shower rain
40,Souillac,MU,-20.5167,57.5167,70.18,64,75,9.22,broken clouds
41,Qaanaaq,GL,77.484,-69.3632,46.87,60,39,1.52,scattered clouds
42,Kodiak,US,57.79,-152.4072,53.8,93,100,2.91,overcast clouds
43,Yulara,AU,-25.2406,130.9889,42.64,61,0,5.75,clear sky
44,New Norfolk,AU,-42.7826,147.0587,53.71,63,100,11.01,overcast clouds
45,Hun,LY,29.1268,15.9477,92.93,12,52,5.77,broken clouds
46,Bredasdorp,ZA,-34.5322,20.0403,53.28,97,54,3.2,broken clouds
47,Noumea,NC,-22.2763,166.4572,69.01,99,66,9.44,broken clouds
48,Biak,ID,-0.9131,122.8766,75.61,89,88,8.63,overcast clouds
49,Salalah,OM,17.0151,54.0924,76.6,89,93,8.32,overcast clouds
50,Te Anau,NZ,-45.4167,167.7167,37.38,95,76,1.16,broken clouds
51,Butaritari,KI,3.0707,172.7902,84.07,61,12,12.82,few clouds
52,Bluff,NZ,-46.6,168.3333,39.79,86,76,8.12,broken clouds
53,Ornskoldsvik,SE,63.2909,18.7153,60.62,87,56,2.3,broken clouds
54,Pontes E Lacerda,BR,-15.2261,-59.3353,88.63,18,39,3.42,scattered clouds
55,Khatanga,RU,71.9667,102.5,58.15,45,63,9.46,broken clouds
56,Calvinia,ZA,-31.4707,19.776,48.34,49,0,1.3,clear sky
57,Qaqortoq,GL,60.7167,-46.0333,48.24,94,100,3.0,light rain
58,Ilo,PE,-17.6394,-71.3375,63.79,73,0,7.94,clear sky
59,Bambous Virieux,MU,-20.3428,57.7575,70.05,64,75,9.22,broken clouds
60,Dikson,RU,73.5069,80.5464,51.12,87,0,3.71,clear sky
61,Tucumcari,US,35.1717,-103.725,90.95,19,0,6.29,clear sky
62,Cabo San Lucas,MX,22.8909,-109.9124,91.51,63,85,7.0,overcast clouds
63,Rio Grande,BR,-32.035,-52.0986,66.31,90,100,12.62,overcast clouds
64,Chifeng,CN,42.2683,118.9636,64.8,73,13,4.63,few clouds
65,Kruisfontein,ZA,-34.0033,24.7314,55.89,97,100,1.77,light rain
66,Nioro,GM,13.35,-15.75,79.86,80,53,4.59,broken clouds
67,Port Alfred,ZA,-33.5906,26.891,62.13,92,6,7.2,clear sky
68,Clyde River,CA,70.4692,-68.5914,39.43,100,90,13.8,mist
69,Youkounkoun,GN,12.5333,-13.1333,76.23,90,99,5.59,overcast clouds
70,Chokurdakh,RU,70.6333,147.9167,37.27,85,100,9.82,overcast clouds
71,Rio Gallegos,AR,-51.6226,-69.2181,51.85,32,0,28.77,clear sky
72,Flinders,AU,-34.5833,150.8552,51.39,75,0,8.32,clear sky
73,San Patricio,US,28.017,-97.5169,87.67,56,100,7.96,overcast clouds
74,Tshikapa,CD,-6.4167,20.8,78.85,26,0,1.97,clear sky
75,Vaini,TO,-21.2,-175.2,69.96,88,75,1.14,broken clouds
76,Tiksi,RU,71.6872,128.8694,41.67,86,100,11.68,overcast clouds
77,Imeni Poliny Osipenko,RU,52.4201,136.4853,56.7,95,100,5.61,overcast clouds
78,Longyearbyen,SJ,78.2186,15.6401,42.64,87,75,12.66,broken clouds
79,Yellowknife,CA,62.456,-114.3525,65.32,63,75,0.0,broken clouds
80,Naze,JP,28.3667,129.4833,77.56,92,97,27.94,overcast clouds
81,Amuntai,ID,-2.4177,115.2494,73.56,99,100,1.7,overcast clouds
82,Champerico,GT,14.3,-91.9167,91.94,72,22,5.84,few clouds
83,Mahebourg,MU,-20.4081,57.7,70.09,64,75,9.22,broken clouds
84,Talcahuano,CL,-36.7167,-73.1167,53.28,87,90,8.05,overcast clouds
85,Vestmannaeyjar,IS,63.4427,-20.2734,55.92,81,24,5.59,few clouds
